task_id,job_id,stream,stashID
1,u-ds329,apy.pp,34001
2,u-ds329,apy.pp,34009
3,u-ds329,apy.pp,34966
4,u-ds808,apy.pp,34001
5,u-ds808,apy.pp,34009
6,u-ds808,apy.pp,34966
